state,billID,link,year,title,status,lastAction,author,topics,summary
AL,AL S    166,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S166&ciq=ncsl&client_md=2b122bedd9a575221c385daa7a53cdd2&mode=current_text,2021,Workers Compensation and Firefighters,Pending - Senate Governmental Affairs Committee,2/2/2021,['Barfoot (R)'],['Officer Safety and Wellbeing'],"Workers' compensation, firefighters, law enforcement officers, diagnosed with post-traumatic stress disorder, reimbursed for certain out-of-pocket expenses, companies and municipalities required to maintain certain disability insurance coverage."
AL,AL H    212,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H212&ciq=ncsl&client_md=3f53aaf7138978e08b0db4111dbb912c&mode=current_text,2021,Post Traumatic Stress Disorder Insurance Coverage,Pending - SENATE,2/2/2021,"['Simpson (R)', 'Brown C (R)', 'Bedsole (R)', 'Stringer (R)', 'Stadthagen (R)', 'Sorrells (R)', 'Shaver (R)', 'Robertson (R)', 'Oliver (R)', 'Marques (R)', 'Lipscomb (R)', 'Kitchens (R)', 'Estes (R)', 'McMillan (R)', 'Reynolds (R)', 'Moore (R)', 'Lovvorn (R)', 'Pettus (R)', 'Ledbetter (R)', 'Jones (R)', 'Collins (R)', 'Treadaway (R)', 'McCutcheon (R)', 'Ball (R)']","['Certification', ' Employment and Labor', ' Officer Safety and Wellbeing']","Relates to counties, municipalities, and fire districts, provides that a law enforcement officer or firefighter employed by a county, municipality, or fire district and diagnosed with post-traumatic stress disorder would be reimbursed for certain co-payments for treatment under certain conditions, requires counties, municipalities, and fire districts to maintain certain disability insurance coverage for law enforcement officers and firefighters who are unable to return to work."
AL,AL H    215,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H215&ciq=ncsl&client_md=7e69759924dbdae4f835ffd7787d54c7&mode=current_text,2021,Sheriffs Term of Office,Pending - HOUSE,2/2/2021,['Reynolds (R)'],['Employment and Labor'],"Relates to sheriffs, amends Section 36-3-4 of the Code of Alabama 1975, relating to the term of office of certain county elected officers, provides for the term of office of the sheriff effective beginning the next term of office, makes certain technical revisions to the provisions in this section."
AL,AL H    239,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H239&ciq=ncsl&client_md=09d58352807d2ec55bd80dd360180a44&mode=current_text,2021,Crimes and Offenses,Pending - Senate Judiciary Committee,4/15/2021,['Shaver (R)'],['Other Issues'],"Relates to crimes and offenses, amends Section 13A-10-52, Code of Alabama 1975, to revise the criminal penalties for violations of fleeing or attempting to elude law enforcement."
AL,AL H    284,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H284&ciq=ncsl&client_md=45f83ce5a0e12795e9374e98381c4597&mode=current_text,2021,Emergency Treatment of Mental Illness,Pending - HOUSE,2/2/2021,['Allen (R)'],['Policing Alternatives and Collaboration'],"Relates to emergency treatment of mental illness, authorizes a law enforcement officer from a designated law enforcement agency to take an individual whom the officer believes has a mental illness into protective custody under certain conditions, provides for the transportation of the individual to a hospital or other facility for evaluation and treatment, provides protection from civil liability to law enforcement officers, medical facilities, and medical personnel under certain conditions."
AL,AL H    286,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H286&ciq=ncsl&client_md=f757c1059cc6a91e9d7e98da90c0b1a0&mode=current_text,2021,Traffic Stops and Law Enforcement Officers,Pending - House Public Safety and Homeland Security Committee,2/2/2021,['Coleman (D)'],"['Investigations and Discipline', ' Data and Transparency', ' Standards']","Relates to traffic stops and state and local law enforcement officers, prohibits a law enforcement officer from engaging in racial profiling, requires adoption of written policies and the forms to be used for statistics on traffic stops, provides for the handling of complaints, requires reports to be filed in the Office of the Attorney General, provides for the reporting and collection of data on injuries to state and local law enforcement officers."
AL,AL H    290,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H290&ciq=ncsl&client_md=1b842b93128be188fb5a1a7effa938d5&mode=current_text,2021,Protective Custody of Individuals with Mental Illness,Enacted - Act No.  2021-136,04/01/2021 - Enacted,['Jones (R)'],['Policing Alternatives and Collaboration'],"Relates to Covington County, authorizes a law enforcement officer from a designated law enforcement agency to take an individual whom the officer believes has a mental illness into protective custody under certain conditions, provides for the transportation of the individual to a hospital or other facility for evaluation and treatment, provides protection from civil liability to law enforcement officers who, in good faith, place individuals with mental illness into protective custody."
AL,AL S    303,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S303&ciq=ncsl&client_md=978dc5bc74536fb8c9b290f4de85bb90&mode=current_text,2021,Sheriffs and Term of Office,"Pending - House Constitution, Campaigns and Elections Committee",4/20/2021,['Scofield (R)'],['Employment and Labor'],"Relates to Sheriffs, relates to term of office of certain county elected officers, provides for the term of office of the sheriff effective beginning the next term of office, makes certain technical revisions to the provisions of this section."
AL,AL H    304,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H304&ciq=ncsl&client_md=13fc42cbf8a70611bb97245a4d54d3aa&mode=current_text,2021,Sheriff Vacancies,Pending - House Public Safety and Homeland Security Committee,2/3/2021,['Lawrence (D)'],['Other Issues'],"Relates to sheriffs, provides for the acting sheriff when the office of sheriff of a county is vacant or when certain other circumstances exist in the county, repeals Section 11-5-5 of the Code of Alabama 1975, relating to the county coroner serving as sheriff when the office of sheriff is vacant or when certain other circumstances exists in the county."
AL,AL S    341,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S341&ciq=ncsl&client_md=9c6285d2e963c30ce6022bdec919dcd0&mode=current_text,2021,Sheriff Qualifications,Enacted - Act No.  2021-280,04/22/2021 - Enacted,['Price (R)'],"['Training', ' Employment and Labor']","Relates to Cleburne County, provides for the qualifications of the sheriff, requires completion of continuing education."
AL,AL S    347,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000S347&ciq=ncsl&client_md=ac7e3686a505b57470630852a44feab9&mode=current_text,2021,Sheriff Education and Qualifications,Enacted - Act No.  2021-281,04/22/2021 - Enacted,['Price (R)'],"['Training', ' Employment and Labor']",Relates to the continuing education and qualifications required for the Randolph County sheriff.
AL,AL H    359,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H359&ciq=ncsl&client_md=5705fd6357665ddf99d00257b71b7911&mode=current_text,2021,Additional Qualifications for Serving Sheriffs,Pending - House Local Legislation - Jefferson County Committee,2/9/2021,['Coleman (D)'],"['Training', ' Employment and Labor']","Relates to Jefferson County and the office of sheriff, provides certain additional qualifications for persons serving as sheriff, provides for continuing education for a sheriff."
AL,AL H    362,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H362&ciq=ncsl&client_md=c391d3829ddcd4251f9a780eaef0bf15&mode=current_text,2021,Prohibits Traffic Citation Quotas,Pending - House Public Safety and Homeland Security Committee,2/9/2021,['Sorrell (R)'],['Standards'],"Relates to law enforcement, prohibits state and local law enforcement agencies from establishing traffic citation quotas, prohibits state and local law enforcement agencies from providing incentives or rewards to law enforcement officers for issuing traffic citations."
AL,AL H    411,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H411&ciq=ncsl&client_md=45aed53cd1dd6ef34e699faba2102f4a&mode=current_text,2021,Law Enforcement,Enacted - Act No.  2021-268,04/22/2021 - Enacted,"['McCampbell (D)', 'Rafferty (D)']","['Employment and Labor', ' Data and Transparency']","Relates to law enforcement, requires the State Peace Officers' Standards and Training Commission to create a database of certain information relating to law enforcement officers, provides that information in the database is confidential, provides for criminal penalties for unauthorized disclosure, requires former law enforcement employers to disclose information to another law enforcement agency for purposes of employment of law enforcement officers, provides immunity for certain disclosures."
AL,AL H    445,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H445&ciq=ncsl&client_md=66e5fc2c6175a3e8585affc96b31ed84&mode=current_text,2021,Crimes and Offenses,Pending - Senate Judiciary Committee,3/18/2021,['Treadaway (R)'],['Officer Safety and Wellbeing'],"Relates to crimes and offenses, creates the crimes of assault against a first responder in the first and second degrees, provides further for the crimes of riot and inciting to riot, creates the crime of aggravated riot, provides further for the crime of assault in the second degree."
AL,AL H    561,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H561&ciq=ncsl&client_md=994bf25b37147d2c92c580cc6f0b36dc&mode=current_text,2021,Custody of Individual With Mental Illness,Enacted - Act No.  2021-309,04/29/2021 - Enacted,['Sorrells (R)'],['Policing Alternatives and Collaboration'],"Relates to Geneva County, authorizes a law enforcement officer from a designated law enforcement agency to take an individual whom the officer believes has a mental illness into protective custody under certain conditions, provides for the transportation of the individual to a hospital or other facility for evaluation and treatment, provides protection from civil liability to law enforcement officers who, in good faith, place individuals with mental illness into protective custody."
AL,AL H    6,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H6&ciq=ncsl&client_md=f409ee45cabb249f31698986e487de15&mode=current_text,2020,Law Enforcement Recordings,Pending - House Judiciary Committee,7/17/2020,['Givan (D)'],['Technology'],"Relates to law enforcement, recordings, procedure to determine to whom and what portion of a recording to disclose or release established."
AL,AL H    13,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H13&ciq=ncsl&client_md=4c1cf66c885b9e453476e30c6623a3c4&mode=current_text,2020,Crimes and Offenses,Pending - House Judiciary Committee,10/30/2020,['Reynolds (R)'],['Other Issues'],"Concerns crimes and offenses, relates to crimes motivated by race, color, religion, national origin, ethnicity, or physical or mental disability, includes employment as a law enforcement officer within the protected class."
AL,AL H    16,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2021000H16&ciq=ncsl&client_md=cc5282494acc40808fd442b4bd19e877&mode=current_text,2020,Crisis Intervention Training,Pending - House Public Safety and Homeland Security Committee,10/30/2020,['Reynolds (R)'],"['Policing Alternatives and Collaboration', ' Certification', ' Standards']","Concerns law enforcement officers, requires officers to have not less than 16 hours of crisis intervention training."
AK,AK S    1,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S1&ciq=ncsl&client_md=e4de860e4a57e9e8b0fcec3332431b9f&mode=current_text,2021,Chokehold Ban,Pending - Senate State Affairs Committee,1/19/2021,"['Gray-Jackson (D)', 'Begich (D)']",['Use of Force'],"Prohibits the use of chokeholds by peace officers, relates to justification of use of force by peace officers."
AK,AK S    2,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S2&ciq=ncsl&client_md=6f87fc5958cfc2b57fd61b1b1a231897&mode=current_text,2021,Peace Officer Misconduct Reporting,Pending - Senate State Affairs Committee,1/19/2021,"['Gray-Jackson (D)', 'Begich (D)']","['Training', ' Certification', ' Use of Force', ' Decertification', ' Standards']","Relates to reporting acts of misconduct by peace officers, relates to de-escalation procedures used by peace officers, relates to peace officer certificates, relates to the state Police Standards Council."
AK,AK S    3,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S3&ciq=ncsl&client_md=52489cb91a638684d399dce97add5f28&mode=current_text,2021,Police Officers Non Lethal Methods of Engagement,Pending - Senate State Affairs Committee,1/19/2021,"['Gray-Jackson (D)', 'Begich (D)']","['Training', ' Certification', ' Use of Force', ' Decertification', ' Standards']","Relates to the state Police Standards Council, requires a peace officer to attempt to de-escalate a situation and use alternative non-lethal methods of engagement before discharging a firearm, requires a peace officer to provide an oral warning before discharging a firearm."
AK,AK S    4,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S4&ciq=ncsl&client_md=f1f9acd5dd13b5db8809a2142b1b90a6&mode=current_text,2021,Peace Officers Use of Force Justifications,Pending - Senate State Affairs Committee,1/19/2021,"['Gray-Jackson (D)', 'Begich (D)']",['Use of Force'],"Relates to justification of use of force by a peace officer, relates to shooting at a moving vehicle."
AK,AK S    7,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S7&ciq=ncsl&client_md=2b931cdb8d03b839903a9272999f4576&mode=current_text,2021,State Trooper Policies Public Access,Pending - Senate Judiciary Committee,1/19/2021,"['Gray-Jackson (D)', 'Begich (D)']",['Data and Transparency'],Requires the Department of Public Safety to publish certain policies and procedures on the departments Internet website.
AK,AK H    38,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000H38&ciq=ncsl&client_md=c34284266e752f25cfeaf0252d483721&mode=current_text,2021,Missing and Murdered Indigenous Women,Pending - House Special Committee on Tribal Affairs,1/19/2021,"['Zulkosky (D)', 'Kreiss-Tomkins (D)', 'Tarr (D)', 'Ortiz (I)', 'Hopkins (D)', 'Snyder (D)']","['Training', ' Certification']","Relates to the state Police Standards Council, relates to the Department of Public Safety."
AK,AK S    46,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S46&ciq=ncsl&client_md=594e72734c0916ca4544de069904969c&mode=current_text,2021,Law Enforcement Use of Force Registry,Pending - Senate Community and Regional Affairs Committee,1/25/2021,"['Gray-Jackson (D)', 'Begich (D)']","['Use of Force', ' Data and Transparency', ' Standards']","Relates to the Police Standards Council, relates to municipal correctional officers and municipal correctional employees, makes municipal police officers subject to police standards, establishes a statewide use of force database in the Department of Public Safety, requires a municipality that employs a person as a municipal police officer or in a municipal correctional facility, the Department of Corrections, or the Department of Public Safety to report in the database incidents of use of force."
AK,AK S    81,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AK2021000S81&ciq=ncsl&client_md=23e723190d54034ee71cd35b2cc88594&mode=current_text,2021,Village Public Safety Officers Background Investigation,Pending - Senate Community and Regional Affairs Committee,2/12/2021,"['Olson D (D)', 'Gray-Jackson (D)']",['Certification'],"Requires background investigations of village public safety officer applicants by the Department of Public Safety, relates to the village public safety officer program."
AZ,AZ S    1125,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1125&ciq=ncsl&client_md=e74eec4b0517bb9caee891d3c2b3dfa9&mode=current_text,2021,Bias Motivated Intimidation,Pending - Senate Judiciary Committee,1/12/2021,['Gowan (R)'],['Other Issues'],"Relates to bias motivated intimidation, relates to first responders."
AZ,AZ S    1220,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1220&ciq=ncsl&client_md=288abe6f22b6d96b08f0fb5bde054514&mode=current_text,2021,Traumatic Event Counseling,Enacted - Act No.  205,04/09/2021 - Enacted,['Gray R (R)'],['Officer Safety and Wellbeing'],"Relates to employee benefits, provides for traumatic event counseling for peace officers and firefighters."
AZ,AZ S    1333,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1333&ciq=ncsl&client_md=d4a4158dc9b592a254008ded66fc472e&mode=current_text,2021,Law Enforcement,Pending - SENATE,1/21/2021,['Gowan (R)'],['Other Issues'],"Relates to law enforcement, relates to budget reduction, relates to prohibition."
AZ,AZ S    1590,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1590&ciq=ncsl&client_md=0092dfae1d8ee45d463b89c0ff7ec581&mode=current_text,2021,Peace Officer Certification,Pending - Senate Judiciary Committee,1/29/2021,"['Quezada (D)', 'Mendez (D)']",['Certification'],"Relates to peace officer certification, relates to disqualifying acts."
AZ,AZ S    1591,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1591&ciq=ncsl&client_md=c86bc7f2ff7dc7f6fba8e778f07609de&mode=current_text,2021,Search Warrants,Pending - Senate Judiciary Committee,1/29/2021,"['Quezada (D)', 'Mendez (D)']",['Other Issues'],"Relates to search warrants, relates to audible notice, relates to requirements."
AZ,AZ S    1592,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1592&ciq=ncsl&client_md=98480ff1eb977f6deefdc3e0187b7f6d&mode=current_text,2021,Deadly Force,Pending - Senate Judiciary Committee,1/29/2021,"['Quezada (D)', 'Mendez (D)']","['Use of Force', ' Standards']","Relates to justification, relates to deadly force, relates to law enforcement."
AZ,AZ S    1662,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1662&ciq=ncsl&client_md=d345e0060ff63fc3eccec28319a3d9ff&mode=current_text,2021,Constable Ethics Standards Board,Pending - Senate Judiciary Committee,2/1/2021,['Engel (D)'],"['Training', ' Oversight']","Relates to Constable Ethics Standards Board, relates to membership."
AZ,AZ S    1745,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1745&ciq=ncsl&client_md=fbaad2a7680474601acb466b86cc7936&mode=current_text,2021,Use of Force By Law Enforcement,Pending - Senate Judiciary Committee,2/1/2021,"['Navarrete (D)', 'Rios (D)', 'Alston (D)', 'Contreras (D)', 'Mendez (D)', 'Otondo (D)', 'Peshlakai (D)', 'Engel (D)']","['Use of Force', ' Standards']","Relates to use of force, relates to law enforcement."
AZ,AZ S    1746,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1746&ciq=ncsl&client_md=3ef39d6a884bbd860ded63dab247b0db&mode=current_text,2021,Peace Officer Database,Pending - Senate Judiciary Committee,2/1/2021,"['Navarrete (D)', 'Rios (D)', 'Alston (D)', 'Contreras (D)', 'Mendez (D)', 'Otondo (D)', 'Peshlakai (D)', 'Engel (D)']","['Investigations and Discipline', ' Data and Transparency']","Relates to peace officer database, relates to disciplinary actions."
AZ,AZ S    1747,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000S1747&ciq=ncsl&client_md=63cf95f29ed20abeb5ef771f32eced81&mode=current_text,2021,Peace Officers,Pending - Senate Judiciary Committee,2/1/2021,"['Navarrete (D)', 'Rios (D)', 'Alston (D)', 'Contreras (D)', 'Mendez (D)', 'Otondo (D)', 'Peshlakai (D)', 'Engel (D)']",['Technology'],"Relates to peace officers, relates to cameras, relates to recordings, relates to disclosures."
AZ,AZ H    2152,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2152&ciq=ncsl&client_md=9c6181e8fd7670c9885a891f5bdc6d3b&mode=current_text,2021,Police And Camera Recordings,Pending - SENATE,1/12/2021,['Kavanagh (R)'],['Technology'],"Relates to police, relates to camera recordings, relates to required redactions."
AZ,AZ H    2168,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2168&ciq=ncsl&client_md=3edbefe5544de51a52634e085524d6ba&mode=current_text,2021,Use-of-Force,Enacted - Signed by Governor,04/28/2021 - Enacted,['Blackman (R)'],"['Use of Force', ' Data and Transparency', ' Standards']","Relates to use-of-force incidents, relates data collection, relates to reports, provides rules, relates to public records, provides definition, provides that a law enforcement agency shall collect and report use-of-force incidents involving law enforcement officers to the State Criminal Justice Commission beginning on a certain date, provides for procedures, publishing, and analysis of such reports."
AZ,AZ H    2236,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2236&ciq=ncsl&client_md=060b8dcfd81ed94484fdcaebcae24df8&mode=current_text,2021,Peace Officer Standards and Training Board,Pending - House Military Affairs and Public Safety Committee,1/13/2021,"['Teller (D)', 'Jermaine (D)', 'Shah (D)', 'Tsosie (D)']",['Oversight'],"Relates to Arizona Peace Officer Standards and Training Board, relates to membership."
AZ,AZ H    2295,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2295&ciq=ncsl&client_md=de4dc1aebf7ba7007045ab1ae4b79266&mode=current_text,2021,Law Enforcement Officers,Pending - Concurrence,4/26/2021,"['Payne (R)', 'Pingerelli (D)']","['Investigations and Discipline', ' Other Issues', ' Data and Transparency']","Relates to law enforcement officers, relates to database, relates to rules."
AZ,AZ H    2310,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2310&ciq=ncsl&client_md=6b0d4b98e2a12ea191e2f5df1b8d5982&mode=current_text,2021,Executive Orders,Enacted - Act No.  261,04/20/2021 - Enacted,"['Roberts (R)', 'Dunn (R)', 'Wilmeth (R)', 'Pingerelli (D)', 'Parker (R)', 'Nguyen (R)', 'Kaiser (R)', 'Hoffman (R)', 'Chaplik (R)', 'Osborne (R)', 'Carroll (R)', 'Bolick (R)', 'Blackman (R)', 'Biasiucci (R)', 'Burges (R)', 'Toma (R)', 'Payne (R)', 'Nutt (R)', 'Grantham (R)', 'Finchem (R)', 'Cobb (R)', 'Bowers (R)', 'Griffin (R)', 'Fillmore (R)', 'Barton (R)', 'Kavanagh (R)']",['Other Issues'],"Relates to executive orders, relates to review, relates attorney general."
AZ,AZ H    2384,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2384&ciq=ncsl&client_md=33cf41d15df00f297033a333d146c045&mode=current_text,2021,Peace Officer Standards and Training Board,Pending - Senate Judiciary Committee,2/23/2021,['Blackman (R)'],['Oversight'],"Relates to membership, relates to Arizona Peace Officer Standards and Training Board."
AZ,AZ H    2420,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2420&ciq=ncsl&client_md=c869d261b82bef7851cd17eebff618fe&mode=current_text,2021,Law Enforcement Budget,Pending - House Third Reading,3/3/2021,"['Carroll (R)', 'Wilmeth (R)']","['Certification', ' Other Issues']","Relates to law enforcement, relates to prosecution, relates to grants, relates to acceptance."
AZ,AZ H    2461,http://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2021000H2461&ciq=ncsl&client_md=ed28a65d5d9a1545e96c9799d41684e1&mode=current_text,2021,Department Of Public Safety,Pending - Senate Rules Committee,1/21/2021,"['Payne (R)', 'Biasiucci (R)', 'Shah (D)']",['Technology'],"Relates to Department of Public Safety, relates to body cameras, relates to appropriations."
